-0.0106	1
-0.0103	1
-0.0098	1
-0.0089	4
-0.0088	3
-0.0087	6
-0.0086	4
-0.0084	2
-0.0083	1
-0.0082	6
-0.0081	4
-0.008	4
-0.0079	4
-0.0078	4
-0.0077	8
-0.0076	3
-0.0075	7
-0.0074	9
-0.0073	9
-0.0072	13
-0.0071	16
-0.007	15
-0.0069	10
-0.0068	8
-0.0067	8
-0.0066	10
-0.0065	15
-0.0064	16
-0.0063	16
-0.0062	8
-0.0061	12
-0.006	12
-0.0059	15
-0.0058	10
-0.0057	11
-0.0056	19
-0.0055	26
-0.0054	24
-0.0053	33
-0.0052	24
-0.0051	29
-0.005	28
-0.0049	33
-0.0048	39
-0.0047	29
-0.0046	35
-0.0045	40
-0.0044	51
-0.0043	55
-0.0042	50
-0.0041	47
-0.004	46
-0.0039	47
-0.0038	46
-0.0037	48
-0.0036	55
-0.0035	48
-0.0034	65
-0.0033	61
-0.0032	47
-0.0031	40
-0.003	67
-0.0029	71
-0.0028	63
-0.0027	59
-0.0026	78
-0.0025	79
-0.0024	93
-0.0023	74
-0.0022	61
-0.0021	86
-0.002	94
-0.0019	97
-0.0018	86
-0.0017	96
-0.0016	92
-0.0015	106
-0.0014	138
-0.0013	94
-0.0012	83
-0.0011	83
-0.001	132
-0.0009	114
-0.0008	121
-0.0007	116
-0.0006	103
-0.0005	113
-0.0004	107
-0.0003	121
-0.0002	83
-0.0001	101
0	111
0.0001	127
0.0002	100
0.0003	108
0.0004	113
0.0005	119
0.0006	132
0.0007	140
0.0008	99
0.0009	114
0.001	124
0.0011	127
0.0012	83
0.0013	99
0.0014	108
0.0015	95
0.0016	88
0.0017	85
0.0018	91
0.0019	79
0.002	90
0.0021	87
0.0022	78
0.0023	98
0.0024	103
0.0025	104
0.0026	99
0.0027	64
0.0028	69
0.0029	54
0.003	69
0.0031	72
0.0032	69
0.0033	50
0.0034	48
0.0035	61
0.0036	53
0.0037	62
0.0038	44
0.0039	37
0.004	52
0.0041	36
0.0042	24
0.0043	32
0.0044	43
0.0045	38
0.0046	33
0.0047	26
0.0048	23
0.0049	24
0.005	19
0.0051	26
0.0052	26
0.0053	23
0.0054	21
0.0055	18
0.0056	19
0.0057	19
0.0058	35
0.0059	25
0.006	19
0.0061	12
0.0062	10
0.0063	18
0.0064	20
0.0065	8
0.0066	4
0.0067	9
0.0068	11
0.0069	13
0.007	5
0.0071	5
0.0072	5
0.0073	12
0.0074	4
0.0075	6
0.0076	6
0.0077	3
0.0078	6
0.0079	3
0.008	2
0.0081	4
0.0082	1
0.0083	3
0.0084	3
0.0087	4
0.0088	4
0.0089	1
0.009	1
0.0092	1
0.0093	1
0.0094	1
0.0095	1
0.0097	1
0.0105	2
0.0107	2
0.0111	1
