32	-1.0313	0.0039	-0.0840
42	-1.0352	0.0049	-0.0898
62	-1.0332	0.0059	-0.0938
82	-1.0303	0.0078	-0.0947
102	-1.0342	0.0088	-0.0977
121	-1.0303	0.0029	-0.1006
142	-1.0303	0.0039	-0.0957
162	-1.0264	0.0078	-0.0898
182	-1.0342	0.0049	-0.1045
203	-1.0273	0.0078	-0.0996
223	-1.0264	0.0068	-0.0996
243	-1.0234	0.0049	-0.0898
263	-1.0273	0.0020	-0.0820
283	-1.0322	0.0049	-0.0850
305	-1.0332	0.0088	-0.0850
323	-1.0332	0.0068	-0.0889
344	-1.0293	0.0000	-0.0928
363	-1.0332	0.0117	-0.0732
383	-1.0293	0.0049	-0.0859
403	-1.0322	0.0049	-0.0908
423	-1.0332	0.0049	-0.0938
443	-1.0273	0.0049	-0.0918
463	-1.0332	0.0000	-0.0977
483	-1.0371	0.0068	-0.0967
503	-1.0303	0.0098	-0.0869
524	-1.0322	0.0088	-0.0938
543	-1.0303	0.0010	-0.0957
564	-1.0313	0.0078	-0.0977
584	-1.0361	0.0029	-0.0967
606	-1.0322	0.0059	-0.0957
623	-1.0332	0.0098	-0.1025
644	-1.0283	0.0029	-0.1025
665	-1.0293	0.0049	-0.0957
686	-1.0332	0.0059	-0.1514
706	-1.0352	0.0088	-0.0840
724	-1.0244	0.0088	-0.1035
746	-1.0322	0.0107	-0.1084
763	-1.0352	0.0059	-0.0732
786	-1.0254	0.0049	-0.0957
804	-1.0313	0.0039	-0.0996
823	-1.0361	0.0059	-0.1025
843	-1.0342	0.0029	-0.1016
863	-1.0293	0.0088	-0.0986
883	-1.0264	0.0049	-0.1025
903	-1.0303	0.0078	-0.0947
924	-1.0352	0.0059	-0.0947
943	-1.0264	0.0068	-0.0947
964	-1.0322	0.0068	-0.0918
984	-1.0313	0.0127	-0.0889
1003	-1.0303	0.0107	-0.0938
1023	-1.0332	-0.0020	-0.0938
1043	-1.0352	0.0078	-0.0918
1064	-1.0322	-0.0029	-0.0879
1083	-1.0371	0.0029	-0.0918
1103	-1.0303	0.0381	-0.1074
1124	-1.0352	0.0020	-0.0889
1144	-1.0303	-0.0068	-0.0908
1163	-1.0283	-0.0029	-0.0986
1183	-1.0322	-0.0010	-0.0947
1204	-1.0293	0.0068	-0.0938
1225	-1.0322	0.0039	-0.0967
1244	-1.0313	0.0068	-0.0986
1265	-1.0273	0.0059	-0.0957
1285	-1.0352	0.0020	-0.0967
1303	-1.0332	0.0068	-0.0967
1325	-1.0273	0.0020	-0.0908
1344	-1.0322	0.0049	-0.0908
1365	-1.0303	0.0068	-0.0869
1385	-1.0303	0.0098	-0.0938
1404	-1.0303	0.0029	-0.0947
1423	-1.0313	0.0078	-0.1016
1444	-1.0313	0.0010	-0.0947
1465	-1.0342	0.0029	-0.0918
1484	-1.0293	0.0020	-0.0928
1503	-1.0391	0.0039	-0.0908
1525	-1.0361	0.0059	-0.0996
1544	-1.0332	0.0098	-0.0996
1564	-1.0283	0.0029	-0.0918
1585	-1.0313	0.0039	-0.0996
1604	-1.0313	0.0049	-0.1084
1624	-1.0313	0.0059	-0.1045
1644	-1.0273	0.0020	-0.1104
1664	-1.0313	0.0020	-0.1055
1684	-1.0293	0.0039	-0.1025
1704	-1.0293	0.0029	-0.1104
1724	-1.0303	0.0049	-0.1084
1745	-1.0264	0.0029	-0.1172
